Name,THC
Sherbet Queen Automatic,20%
Do-Si-Dos Automatic,20%
Gorilla Girl F1 Fast Version,18-25%
Auto MAC #1,+20 %
Don Gorilla Glue,bis zu 32%
San Bacio Burger,27%
Mimosa Punch,27%
Biscotti Auto,25%
Melonade Runtz,20-25%
Gelato 44,22%
NYC Sour D Auto,21%
Lemon Oasis Auto,22%
Ice (Royal Queen Seeds),18%
Skunk #1 Reg. (Sensi Seeds),
Erdpurt Reg.,0.03-16 %
Blue Cheese (Royal Queen Seeds),19%
Afghan Kush x Yumbolt,
Amnesia (World of Seeds),
Enemy Of The State,19%
Auto Brooklyn Sunrise,Hoch
Auto White Widow (00 Seeds),16%
Cannabis Light,4%
Fruit Punch Auto,
Auto Critical Mass,14%
Top 44,15-20%
Orange Diesel Auto,20%
Tropic Punch,21%
Auto Mazar Extra,17-21%
Super Silver Haze (Nirvana Seeds),20 - 24%
Hawaii Maui Waui Auto,15-20%
Hi-Biscus,20%
Humboldt Sour Diesel,25-30%
Gorilla Glue,25 %
Blueberry Glue - Glueberry,23%
Bubble Runtz,22%
Critical Banana Smoothie Auto,27%
Critical Jack,15 - 20%
CBDrelief,0.6%
Medusa F1 Auto,Sehr hoch
Orion F1 Auto,Sehr hoch
Sweet Mandarine Zkittlez XL Auto,19-24%
Harlequeen THC Free,0.7%
Strawberry Gum CBD,0-1%
Cinderella 99 Auto,Sehr hoch
"CBG Auto,""<0,1 %"""
Ghost Train Power,30%
Gorilla Zkittlez Fast,24%
OG Eddy Lepp Auto,22%
Superior Amaretto Tarmac Auto,Nicht angegeben
Killer Kush Fast Version,
Sweet Skunk Automatic,15%
Bubble Kush,19%
Orange Bud,10-15%
Blueberry Bliss Auto,
Purple Haze x Malawi Reg.,15 - 22%
OG Kush CBD (Medical Seeds),12%
CBD Silver Lime Haze Auto,9%
Auto Strawberry Gum,18%
Amnesia Haze Auto (Vision Seeds),
Amnesia x Buddha Kush,Hoch
Triple G,
Gorilla Glue (Seedstockers),Hoch
"Auto Blueberry,""19,5%"""
BlackBerry Auto,20%
Amnesium Auto (Victory Seeds),17 %
Expert Gorilla,24+%
Peyote Zkittlez,20+%
Durban Dew,Hoch
Humboldt x Seedstockers Mack & Crack,bis zu 30%
Humboldt x Seedstockers Mack & Crack Auto,bis zu 30%
Superior Panty Punch,bis zu 30%
Supafreak,18-22%
North Thunderfuck Automatic,21%
"Ztrawberry,""22,48%"""
Cherry Pie Fast Version,21%
Amnesia Fast Version,18%
"Royal CBG Automatic,""0,09%"""
"Royal CBDV Automatic,""0,3%"""
Apollo F1 Auto,Sehr hoch
Milky Way F1 Auto,Sehr hoch
Gorilla Sherbet  F1 Fast Version,18-23%
Red Pure CBD Auto,15-17%
Red Strawberry Banana Auto,15-20%
OG Kush (Barney’s Farm),23-26%
Runtz (Barney’s Farm),25-29%
Golden Tiger 3,20-30%
Tropical Cookies Double XL Auto,24-26%
